band,dynamicRange,dataType,nodata value,min,max,mean,std,obj,instid,imgref,date,doy
2.0,0.014942232548492028,6.0,0.0,0.0003702947578858584,0.015312527306377888,0.0034881549582831814,0.0015377741981957077,3,40018,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.19540339056402445,6.0,0.0,0.004207274876534938,0.19961066544055936,0.04734421849791633,0.025044861404205317,5,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.020620919356588274,6.0,0.0,0.00026669580256566405,0.020887615159153935,0.003927869215042124,0.0019403246103378465,5,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.17343932157382366,6.0,0.0,0.0036018812097609047,0.1770412027835846,0.042307725147838586,0.019432768509444646,7,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.013133071013726296,6.0,0.0,0.00040463951881974936,0.013537710532546045,0.003483147974977691,0.0015437787137908207,7,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.15247909678146243,6.0,0.0,0.0041949902661144725,0.1566740870475769,0.035677365221393635,0.01684981812508545,9,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
2.0,0.014812522247666493,6.0,0.0,0.0004141110402997583,0.015226633287966253,0.003589365481649101,0.0015265017366482944,9,40016,20110411_222442_r2_scwa__hx,2011-04-11,101
1.0,0.28242629911983386,6.0,0.0,0.0005628750077448785,0.2829891741275787,0.026630111044505012,0.02703022346333844,11,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.03810536247328855,6.0,0.0,0.00022803488536737857,0.03833339735865593,0.0035974358089702852,0.0035615797666132295,11,40014,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.229539614636451,6.0,0.0,0.0019764485768973827,0.2315160632133484,0.03896314176870841,0.025630176052263844,13,40012,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.03608943326980807,6.0,0.0,0.00031660692184232175,0.03640604019165039,0.005329058020937901,0.003486446722467839,13,40012,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.09543401713017376,6.0,0.0,0.0016312900697812438,0.09706530719995496,0.02363515286475637,0.011934862405386189,1,40015,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.009340703836642204,6.0,0.0,0.00032881705556064844,0.009669520892202854,0.0031181996942828967,0.0012601676056973987,1,40015,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.2384414995322004,6.0,0.0,0.0015861516585573554,0.24002765119075775,0.03613484772539172,0.023419307901056865,17,40012,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.03154350092518144,6.0,0.0,0.0001956930209416896,0.031739193946123116,0.004377035116327634,0.0031132840532103567,17,40012,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.1928075330797583,6.0,0.0,0.0013181490357965233,0.19412568211555484,0.02755016973969127,0.021180931820153254,21,40011,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.032027874898631126,6.0,0.0,0.00014628394274041057,0.032174158841371536,0.003122641454980627,0.002531192725204993,21,40011,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.06096020247787237,6.0,0.0,0.0007682340219616892,0.06172843649983406,0.010939893698254568,0.006604895515212606,25,40011,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.007079754024744033,6.0,0.0,0.00022404501214623449,0.007303799036890268,0.001913445296252309,0.0007823766878091754,25,40011,20110417_225009_r2_scwa__hx,2011-04-17,107
1.0,0.10922644799575207,6.0,0.0,0.002772184554487467,0.11199863255023955,0.02545135395320937,0.012425942075491159,3,40015,20110417_225009_r2_scwa__hx,2011-04-17,107
2.0,0.010838342772331087,6.0,0.0,0.00033263029763475055,0.01117097306996584,0.0030241951508290094,0.001254235999384179,3,40015,20110417_225009_r2_scwa__hx,2011-04-17,107
